# Nome - Onscreen Keyboard -- seed bigrams for next-word prediction.
#
# Format: <prev> <next> <count>    (whitespace-separated, one per line)
#
# These are common English word pairs used by the predictor ONLY when
# the user hasn't personally taught it a better continuation.  Lines
# starting with '#' are comments and ignored; blank lines also skipped.
#
# The `count` column is an integer priority within seeds -- higher
# counts rank above lower ones when several seed continuations exist
# for the same previous word.  Values are hand-tuned and roughly
# reflect observed frequency of the phrase in everyday English.
#
# User-learned bigrams OUTRANK these (W_BIGRAM > W_SEED_BIGRAM in
# predictor.js) so the moment a user types "hello world" their copy
# of "hello -> world" dominates any seed suggestion that starts with
# "hello".  Resetting learned words via the menu does NOT touch this
# file -- it's static data shipped with the extension.
#
# Kept small on purpose (~300 lines) -- this is a "bootstrap" data
# set, not a language model.  The tradeoff: the first few uses show
# generic suggestions; after a short learning period the user's own
# phrasing takes over.

# ---- Subjects + common verbs ----
i am 10
i have 10
i was 9
i will 9
i can 8
i don't 8
i think 7
i need 7
i would 7
i know 6
i do 6
i could 6
i should 5
i want 5
i just 5
you are 10
you can 9
you have 9
you will 8
you know 8
you don't 7
you should 7
you want 6
you need 6
you could 6
you would 5
you did 5
we are 10
we have 9
we will 9
we can 8
we don't 7
we need 7
we should 6
we could 6
we would 5
they are 10
they have 9
they will 8
they can 7
they don't 6
they were 6
he is 10
he was 9
he has 9
he will 8
he can 7
he had 7
he would 6
she is 10
she was 9
she has 9
she will 8
she can 7
she had 7
she would 6
it is 10
it was 10
it has 9
it will 8
it would 7
it could 7
it might 5
that is 10
that was 9
that has 7
that will 7
that would 6
that might 5
this is 10
this will 8
this has 7
this was 7
this would 6
there is 10
there are 10
there was 9
there will 7
there were 7
here is 8
here are 7
here comes 5

# ---- Articles + nouns/adjectives ----
the same 10
the first 9
the best 9
the other 9
the most 9
the new 8
the last 8
the only 8
the next 8
the whole 7
the way 9
the time 9
the world 8
the people 8
the end 7
the man 7
the day 7
the year 7
the place 7
the rest 6
the fact 6
a few 10
a little 10
a lot 10
a good 9
a new 9
a great 8
a long 8
a small 7
a big 7
a man 7
a year 6
a day 6
a moment 6
a bit 6
an other 7
an old 6
an hour 5
an important 5
an easy 4

# ---- Prepositions ----
of the 15
of a 10
of my 9
of course 9
of our 8
of your 8
of all 7
of this 7
of these 6
of those 6
in the 15
in a 10
in my 9
in our 8
in order 8
in case 7
in this 7
in that 7
in which 7
in fact 6
to the 15
to be 15
to do 12
to have 11
to get 10
to make 10
to go 9
to see 9
to know 9
to find 8
to say 8
to take 8
to give 7
to work 7
on the 12
on a 9
on this 7
on my 6
on your 6
on top 5
at the 12
at a 8
at this 6
at home 6
at least 6
at once 5
for the 12
for a 9
for you 8
for me 7
for this 7
for that 6
for us 6
with the 10
with a 9
with you 7
with my 6
with his 5
with her 5
from the 10
from a 8
from my 6
from here 5
by the 10
by a 7
by my 5
about the 8
about it 7
about my 5
about you 6
into the 8
into a 6
over the 9
over a 6
under the 8
through the 7
after the 8
after a 7
after all 6
before the 8
before you 6
between the 7
during the 7
without a 7
without the 5
against the 6

# ---- Auxiliary + modal verbs ----
is a 12
is not 10
is the 9
is an 7
is to 7
is very 6
is that 6
is one 5
was a 10
was the 9
was not 8
was going 6
was just 5
are you 10
are the 8
are going 7
are not 7
are we 6
are they 5
were the 6
were going 5
were not 5
will be 12
will not 9
will have 8
will go 6
will make 5
can be 12
can have 8
can not 8
can you 7
can't be 7
could be 10
could have 8
could not 7
could you 6
should be 10
should have 7
should not 7
would be 10
would have 9
would like 8
would not 7
might be 6
might have 5
must be 8
must have 6
have a 12
have to 11
have been 10
have the 9
have not 7
have no 6
had a 10
had to 9
had been 8
had the 7
has a 10
has been 10
has the 7
do you 12
do not 10
do the 8
does not 8
does it 7
did you 10
did not 9
did the 6
don't know 10
don't have 9
don't want 8
don't need 7
don't think 7
don't see 6
don't believe 5
don't like 5

# ---- Conjunctions ----
and the 10
and i 10
and then 9
and you 8
and he 7
and she 7
and we 7
and a 6
and it 6
or a 8
or the 7
or not 6
or an 5
but i 9
but the 8
but not 7
but it 7
but we 5
so i 8
so we 7
so much 7
so many 6
so far 5

# ---- Questions ----
thank you 12
how are 10
how is 8
how many 8
how do 8
how much 7
how can 7
how did 6
what is 10
what are 9
what do 8
what was 7
what the 6
what you 6
what i 5
where is 9
where are 8
where the 6
where you 5
when is 8
when are 7
when the 7
when i 6
when you 6
who is 9
who are 8
who was 7
why is 8
why do 7
why not 6
which is 10
which was 8
which the 6

# ---- Contractions + common ----
i'm not 8
i'm a 7
i'm the 5
i'm going 7
i'm just 6
you're welcome 5
you're right 5
you're the 4
you're a 4
it's a 10
it's not 8
it's the 7
it's just 6
it's all 5
it's so 5
that's a 8
that's not 7
that's the 7
that's what 6
that's why 5
there's a 7
there's no 6
there's not 5
here's the 5
here's a 5
let's go 7
let's do 6
let's get 5
let's say 4
let's just 4
we're going 7
we're not 6
we're the 4
they're not 5
they're going 5

# ---- Misc frequent pairs ----
one of 12
one day 7
one thing 6
one more 6
one year 5
one man 4
some of 9
some other 7
some people 6
some time 5
any of 8
any other 7
any time 6
more than 10
more and 7
more of 6
more time 6
most of 10
most people 7
most important 6
all of 10
all the 9
all you 7
all my 5
all i 5
not only 8
not to 7
not a 7
not the 6
not be 6
just a 9
just the 8
just been 6
just like 6
just as 6
too much 8
too many 7
too bad 5
out of 12
out the 7
out there 5
up to 10
up the 8
up and 7
down the 7
down to 6
each other 7
each of 6
each time 5
every day 7
every time 7
every year 5
every one 5
same as 7
same thing 6
same way 5
same time 5
other than 7
other people 6
other things 5
long time 7
long way 5
long ago 5
first time 8
first place 6
first of 5
last time 7
last year 7
last night 6
last week 5
next to 7
next time 6
next year 5
many of 7
many people 6
many times 5
many years 5
even if 7
even though 6
even more 5
only a 6
only the 6
only one 6
only way 5
because of 8
because the 6
because i 6
because it 5
than the 7
than a 6
than i 5
while the 6
while i 5
until the 6
until you 5
since the 6
since i 5
as well 8
as a 8
as the 7
as i 6
as we 5
as it 5
as if 5
if you 10
if i 9
if we 8
if they 7
if he 6
if it 6
if the 6
if this 5
if not 5
instead of 8
right now 7
right here 6
right there 5
right away 5
very much 7
very good 7
very important 6
very few 5
no one 8
no more 7
no other 6
no doubt 5
no idea 5
no problem 5
good morning 6
good night 6
good luck 6
good for 6
good to 5
time to 10
time for 8
time is 6
time and 5
such a 9
such as 8
much more 7
much better 6

# ---- Verbs + common objects ----
see you 7
see the 6
see a 5
make a 7
make the 6
make it 5
get a 7
get the 6
get it 5
get out 5
take a 7
take the 6
take it 5
take care 5
give me 6
give you 5
give the 4
tell me 6
tell you 5
tell the 4
say the 5
say a 4
say i 4
find a 6
find the 5
find out 5
think about 5
think of 5
think that 4
know the 5
know what 5
know how 4
keep the 5
keep it 4
keep in 4
put the 5
put it 5
put a 4
use the 5
use a 4
need a 6
need the 5
need to 6
want to 8
want a 6
want the 5
want you 4
like to 7
like a 6
like the 5
look at 6
look for 5
look like 4
feel like 5
feel the 4
feel a 4
try to 6
try and 4
try the 4
let me 6
let the 5
let us 4
